<Eugénie-3301>_1,<le père-2169>_2,<monsieur Grandet-943>_3,<Grandet au Tribunal de Première Instance-2317>_4,<Eugénie-1205>_5,<Eugénie et sa mère-1499>_6,<Eugénie-1353>_7,<un homme-191>_8,<l'-2932>_9
<Cornoiller-3306>,<lui-2132>,<le président-949>,<Charles-2316>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Cornoiller-3306>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Charles-1473>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<le facteur de poste-3308>,<le père-2169>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Charles-1473>,<Il-1350>,<un astronome-192>,<l'-2932>
<le facteur de poste-3308>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Charles-1473>,<Eugénie-1353>,<un homme-191>,"<la plupart des femmes atteintes , à cet âge , par la maladie-2938>"
<Eugénie-3301>,<le père-2169>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,"<des femmes atteintes , à cet âge , par la maladie-2939>"
<Eugénie-3301>,<Dieu-2173>,<monsieur Grandet-943>,<Grandet au Tribunal de Première Instance-2317>,<un auteur de bonne foi-1214>,<Charles-1473>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<un auteur de bonne foi-1214>,<Charles-1473>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<madame des Grassins-947>,<Charles-2316>,<un auteur de bonne foi-1214>,<Grandet-1486>,<Il-1350>,<un homme-191>,<la mère-2935>
<Eugénie-3301>,<lui-2132>,<Charles-920>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<la fille étonnées-2936>
<lui-3310>,<lui-2132>,<madame des Grassins-947>,<Grandet au Tribunal de Première Instance-2317>,<lui-1215>,<Grandet-1486>,<Eugénie-1353>,<les petits propriétaires-193>,<la mère-2935>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<Charles-920>,<Charles-2316>,<Eugénie-1205>,<le sucrier-1504>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Cornoiller-3306>,<le père-2169>,<monsieur Grandet-943>,<Charles-2316>,<Eugénie-1205>,<Charles-1473>,<Eugénie-1353>,<un homme-191>,"<la plupart des femmes atteintes , à cet âge , par la maladie-2938>"
<Cornoiller-3306>,<le père-2169>,<le notaire-948>,<Charles-2316>,<un auteur de bonne foi-1214>,<Grandet-1486>,<Il-1350>,<un homme-191>,"<des femmes atteintes , à cet âge , par la maladie-2939>"
<le facteur de poste-3308>,<le père-2169>,<le président-949>,<Charles-2316>,<un auteur de bonne foi-1214>,<Grandet-1486>,<Eugénie-1353>,<un astronome-192>,<l'-2932>
<le facteur de poste-3308>,<le père-2169>,<Charles-920>,<Grandet au Tribunal de Première Instance-2317>,<un auteur de bonne foi-1214>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<les-950>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<Charles-920>,<Charles-2316>,<lui-1215>,<Grandet-1486>,<Il-1350>,<un homme-191>,<la mère-2935>
<Eugénie-3301>,<lui-2132>,<les-950>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Grandet-1486>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<lui-3310>,<le père-2169>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<les petits propriétaires-193>,"<la plupart des femmes atteintes , à cet âge , par la maladie-2938>"
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<un auteur de bonne foi-1214>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,"<des femmes atteintes , à cet âge , par la maladie-2939>"
<Eugénie-3301>,<le père-2169>,<monsieur Grandet-943>,<Grandet au Tribunal de Première Instance-2317>,<un auteur de bonne foi-1214>,<Grandet-1486>,<Il-1350>,<un astronome-192>,<l'-2932>
<Eugénie-3301>,<Dieu-2173>,<monsieur Grandet-943>,<Charles-2316>,<un auteur de bonne foi-1214>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Cornoiller-3306>,<lui-2132>,<madame des Grassins-947>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Cornoiller-3306>,<lui-2132>,<Charles-920>,<Charles-2316>,<lui-1215>,<Grandet-1486>,<Il-1350>,<un homme-191>,<l'-2932>
<le facteur de poste-3308>,<lui-2132>,<madame des Grassins-947>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<le facteur de poste-3308>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,"<la plupart des femmes atteintes , à cet âge , par la maladie-2938>"
<Eugénie-3301>,<lui-2132>,<Charles-920>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Charles-1473>,<Il-1350>,<un homme-191>,"<des femmes atteintes , à cet âge , par la maladie-2939>"
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<ce type d' enfants fortement constitués-1216>,<Eugénie et sa mère-1499>,<Il-1350>,<les petits propriétaires-193>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<enfants fortement constitués-1217>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<le père-2169>,<le notaire-948>,<Grandet au Tribunal de Première Instance-2317>,<ce type d' enfants fortement constitués-1216>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<le père-2169>,<le président-949>,<Charles-2316>,<un auteur de bonne foi-1214>,<Eugénie et sa mère-1499>,<Il-1350>,<un astronome-192>,<l'-2932>
<lui-3310>,<le père-2169>,<Charles-920>,<Charles-2316>,<un auteur de bonne foi-1214>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<le père-2169>,<les-950>,<Charles-2316>,<un auteur de bonne foi-1214>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<l'-2932>
